Cycle:        128, | F: 2442ffff | D: 00000000 | E: 8fc20010 | M: 26100001 | W: a2020000 |

Cycle:        129, | F: afc20010 | D: 2442ffff | E: 00000000 | M: 8fc20010 | W: 26100001 |

Cycle:        130, | F: 8fc20010 | D: afc20010 | E: 2442ffff | M: 00000000 | W: 8fc20010 |

Cycle:        131, | F: 00000000 | D: 8fc20010 | E: afc20010 | M: 2442ffff | W: 00000000 |

Cycle:        132, | F: 1440fff4 | D: 00000000 | E: 8fc20010 | M: afc20010 | W: 2442ffff |

Cycle:        133, | F: 00000000 | D: 1440fff4 | E: 00000000 | M: 8fc20010 | W: afc20010 |

Cycle:        134, | F: 00000000 | D: 1440fff4 | E: 00000000 | M: 00000000 | W: 8fc20010 |

Cycle:        135, | F: 8fc2000c | D: 00000000 | E: 1440fff4 | M: 00000000 | W: 00000000 |

Cycle:        136, | F: 00000000 | D: 8fc2000c | E: 00000000 | M: 1440fff4 | W: 00000000 |

Cycle:        137, | F: 304200ff | D: 00000000 | E: 8fc2000c | M: 00000000 | W: 1440fff4 |

Cycle:        138, | F: a2020000 | D: 304200ff | E: 00000000 | M: 8fc2000c | W: 00000000 |

Cycle:        139, | F: 26100001 | D: a2020000 | E: 304200ff | M: 00000000 | W: 8fc2000c |

Cycle:        140, | F: 8fc20010 | D: 26100001 | E: a2020000 | M: 304200ff | W: 00000000 |

Cycle:        141, | F: 00000000 | D: 8fc20010 | E: 26100001 | M: a2020000 | W: 304200ff |

Cycle:        142, | F: 2442ffff | D: 00000000 | E: 8fc20010 | M: 26100001 | W: a2020000 |

Cycle:        143, | F: afc20010 | D: 2442ffff | E: 00000000 | M: 8fc20010 | W: 26100001 |

Cycle:        144, | F: 8fc20010 | D: afc20010 | E: 2442ffff | M: 00000000 | W: 8fc20010 |

Cycle:        145, | F: 00000000 | D: 8fc20010 | E: afc20010 | M: 2442ffff | W: 00000000 |

Cycle:        146, | F: 1440fff4 | D: 00000000 | E: 8fc20010 | M: afc20010 | W: 2442ffff |

Cycle:        147, | F: 00000000 | D: 1440fff4 | E: 00000000 | M: 8fc20010 | W: afc20010 |

Cycle:        148, | F: 00000000 | D: 1440fff4 | E: 00000000 | M: 00000000 | W: 8fc20010 |

Cycle:        149, | F: 8fc2000c | D: 00000000 | E: 1440fff4 | M: 00000000 | W: 00000000 |

Cycle:        150, | F: 00000000 | D: 8fc2000c | E: 00000000 | M: 1440fff4 | W: 00000000 |

Cycle:        151, | F: 304200ff | D: 00000000 | E: 8fc2000c | M: 00000000 | W: 1440fff4 |

